Id,Label,namespace,SparqlID,PageRank
203,Stuart Pot,http://dbpedia.org/resource,http://dbpedia.org/resource/2D_(character),5.058558908724849E-4
204,Jamie Hewlett,http://dbpedia.org/resource,http://dbpedia.org/resource/Jamie_Hewlett,0.0022258628065283535
205,Adham Sabri,http://dbpedia.org/resource,http://dbpedia.org/resource/Adham_Sabri,5.058558908724849E-4
206,"Farouk, Nabil",http://dbpedia.org/resource,http://dbpedia.org/resource/Nabil_Farouk,9.358576197864521E-4
207,Croats,http://dbpedia.org/resource,http://dbpedia.org/resource/Croats,0.0016717454790024146
208,Floyd Gottftredson,http://dbpedia.org/resource,http://dbpedia.org/resource/Floyd_Gottfredson,9.358576197864521E-4
209,"Kaysville, Utah",http://dbpedia.org/resource,"http://dbpedia.org/resource/Kaysville,_Utah",7.710318035458989E-4
210,State of Utah,http://dbpedia.org/resource,http://dbpedia.org/resource/Utah,0.00116879567255602
211,Goofy Goof,http://dbpedia.org/resource,http://dbpedia.org/resource/Goofy,5.058558908724849E-4
212,"Murry, Paul",http://dbpedia.org/resource,http://dbpedia.org/resource/Paul_Murry,9.358576197864521E-4
213,"Cole, Jack",http://dbpedia.org/resource,http://dbpedia.org/resource/Jack_Cole_(artist),0.0017958610776143864
214,"New Castle, Pennsylvania",http://dbpedia.org/resource,"http://dbpedia.org/resource/New_Castle,_Pennsylvania",0.0012691457689888806
215,Jim Carrey,http://dbpedia.org/resource,http://dbpedia.org/resource/Jim_Carrey,9.358576197864521E-4
216,Américain d'origine canadienne,http://dbpedia.org/resource,http://dbpedia.org/resource/Canadian_American,0.006361465431821996
217,Newmarket,http://dbpedia.org/resource,"http://dbpedia.org/resource/Newmarket,_Ontario",9.036197598826059E-4
218,Puerto Ricans,http://dbpedia.org/resource,http://dbpedia.org/resource/Puerto_Ricans,0.0015026834838994937
219,Althea,http://dbpedia.org/resource,http://dbpedia.org/resource/Blind_Al,5.058558908724849E-4
220,Joe Kelly,http://dbpedia.org/resource,http://dbpedia.org/resource/Joe_Kelly_(writer),0.0017958610776143864
